Type,Sample_Wt(g),Sample_ID,Absorbance,
B,,1_1,0.013,
B,,1_2,0.012,
B,,2_1,0.011,
B,,2_2,0.011,
C,,0,0.010,
C,,0,0.011,
C,,0,0.010,
C,,549.5825955,0.358,
C,,549.5825955,0.361,
C,,549.5825955,0.258,
C,,1099.165191,0.684,
C,,1099.165191,0.732,
C,,1099.165191,0.723,
C,,4396.660764,1.328,
C,,4396.660764,1.230,
C,,4396.660764,1.361,
O,,LIG-01,0.066,
D,,LIG-01,0.060,
O,,LIG-02,0.038,
D,,LIG-02,0.043,
O,,LIG-03,0.057,
D,,LIG-03,0.056,
O,,LIG-04,0.079,
D,,LIG-04,0.076,
O,,LIG-05,0.173,
D,,LIG-05,0.174,
O,,LIG-06,0.551,
D,,LIG-06,0.561,
O,,LIG-07,0.498,
D,,LIG-07,0.516,
O,,LIG-08,0.295,
D,,LIG-08,0.278,
O,,LIG-09,0.236,
D,,LIG-09,0.240,
O,,LIG-10,0.019,
D,,LIG-10,0.018,
O,,LIG-11,0.018,
D,,LIG-11,0.020,
O,,LIG-12,0.018,
D,,LIG-12,0.018,
O,,LIG-13,0.105,
D,,LIG-13,0.109,
O,,LIG-14,0.393,
D,,LIG-14,0.397,
O,,LIG-15,0.348,
D,,LIG-15,0.343,
O,,LIG-16,0.354,
D,,LIG-16,0.368,
O,,LIG-17,0.081,
D,,LIG-17,0.086,
O,,LIG-18,0.062,
D,,LIG-18,0.063,
O,,LIG-19,0.074,
D,,LIG-19,0.075,
O,,LIG-20,0.062,
D,,LIG-20,0.065,
O,,LIG-21,0.051,
D,,LIG-21,0.048,
O,,LIG-22,0.094,
D,,LIG-22,0.091,
O,,LIG-23,0.074,
D,,LIG-23,0.078,
O,,LIG-24,0.135,
D,,LIG-24,0.139,
O,,LIG-25,0.121,
D,,LIG-25,0.131,
O,,LIG-26,0.098,
D,,LIG-26,0.108,
O,,LIG-27,0.516,
D,,LIG-27,0.514,
O,,LIG-28,0.200,
D,,LIG-28,0.189,
